epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,11542.7,1.014,1.00778,1.27147,0.73497,0.72105,0.76712,0.53145,1.20422,1.01572,1.55473,0.0072874,0.0072874,0.0072874
139,11626.1,1.01082,1.00376,1.26526,0.73095,0.71535,0.76558,0.53233,1.20771,1.01518,1.55644,0.0072676,0.0072676,0.0072676
140,11709.4,1.0063,0.99396,1.26524,0.73125,0.72635,0.76929,0.53343,1.20798,1.01355,1.55629,0.0072478,0.0072478,0.0072478
141,11793.1,1.01069,0.98336,1.27101,0.72032,0.7354,0.77034,0.53496,1.20881,1.01322,1.55745,0.007228,0.007228,0.007228
142,11876.5,0.99979,0.98268,1.25333,0.71986,0.74218,0.77117,0.53401,1.21165,1.01067,1.56019,0.0072082,0.0072082,0.0072082
143,11960.4,1.00429,0.98155,1.25762,0.72715,0.7345,0.77088,0.53374,1.21326,1.00758,1.56275,0.0071884,0.0071884,0.0071884
144,12043.8,0.9983,0.99245,1.2591,0.73106,0.72933,0.77552,0.53484,1.21128,1.0037,1.56367,0.0071686,0.0071686,0.0071686
145,12127.4,0.99701,0.99028,1.26194,0.74064,0.72911,0.77449,0.53479,1.2128,1.0012,1.56522,0.0071488,0.0071488,0.0071488
146,12211.2,1.00586,0.98249,1.26267,0.75118,0.72362,0.7775,0.53392,1.21471,1.00019,1.56679,0.007129,0.007129,0.007129
147,12294.8,1.0011,0.97452,1.26319,0.75682,0.72728,0.77953,0.5381,1.214,0.9915,1.56591,0.0071092,0.0071092,0.0071092
148,12378.8,1.00818,0.98075,1.26669,0.75267,0.73043,0.77884,0.53704,1.21489,0.98769,1.56753,0.0070894,0.0070894,0.0070894
149,12462.7,1.00269,0.99002,1.26033,0.74879,0.73085,0.77902,0.53759,1.21526,0.98425,1.56642,0.0070696,0.0070696,0.0070696
150,12546.3,1.00383,0.98082,1.26578,0.74768,0.72652,0.77865,0.53905,1.21351,0.98111,1.5636,0.0070498,0.0070498,0.0070498
151,12629.8,1.00666,0.95837,1.26608,0.75242,0.73001,0.78416,0.54031,1.21265,0.98044,1.56214,0.00703,0.00703,0.00703
152,12713.3,1.00775,0.95794,1.26146,0.7573,0.72181,0.7805,0.5388,1.21064,0.9807,1.56088,0.0070102,0.0070102,0.0070102
153,12797.3,0.99364,0.95157,1.25255,0.75908,0.72487,0.7822,0.53949,1.21114,0.97649,1.5632,0.0069904,0.0069904,0.0069904
154,12881.1,1.00013,0.95764,1.26108,0.76286,0.70778,0.7808,0.53954,1.20948,0.97798,1.56153,0.0069706,0.0069706,0.0069706
155,12964.8,1.00148,0.95178,1.25789,0.76379,0.70526,0.77714,0.53876,1.20986,0.97721,1.56257,0.0069508,0.0069508,0.0069508
156,13048.2,0.99708,0.95372,1.2548,0.75994,0.71767,0.78073,0.53944,1.20862,0.97662,1.56147,0.006931,0.006931,0.006931
157,13131.6,0.99977,0.95907,1.2599,0.77258,0.71532,0.78291,0.54167,1.2059,0.97671,1.55997,0.0069112,0.0069112,0.0069112
